Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
12206,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008,Role-Playing,Atlus,0.07,0.05,0,0.02
12207,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008,Role-Playing,Atlus,0,0,0.17,0
12208,Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,0.14,0,0.12,0.01
12209,Shin Megami Tensei: Devil Survivor 2,DS,2011,Role-Playing,Ghostlight,0.17,0.01,0.12,0.01
12210,Shin Megami Tensei: Devil Survivor 2,3DS,2015,Role-Playing,Atlus,0,0.03,0.09,0
12211,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02
12212,Shin Megami Tensei: Digital Devil Saga,PS2,2004,Role-Playing,Ghostlight,0.06,0.05,0,0.02
12213,Shin Megami Tensei: Digital Devil Saga 2,PS2,2005,Role-Playing,Ghostlight,0.04,0.03,0,0.01
12214,Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02
12215,Shin Megami Tensei: Persona,PSP,2009,Role-Playing,Atlus,0.08,0,0.13,0.01
12216,Shin Megami Tensei: Persona 2: Innocent Sin,PSP,2011,Role-Playing,Atlus,0.13,0.03,0.11,0.03
12217,Shin Megami Tensei: Persona 3,PS2,2006,Role-Playing,Tecmo Koei,0.22,0.03,0,0.2
12218,Shin Megami Tensei: Persona 3 (jp sales),PS2,2006,Role-Playing,Tecmo Koei,0,0,0.21,0
12219,Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05
12220,Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,0.18,0.06,0.34,0.04
12221,Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,0.34,0.04,0.36,0.08
12222,Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,Atlus,0.14,0,0.14,0.01
12223,Shin Momotarou Densetsu,SNES,1993,Role-Playing,Hudson Soft,0,0,0.32,0
12224,Shin Nippon Pro Wrestling: Toukon Retsuden,PS,1995,Fighting,Tomy Corporation,0,0,0.3,0.02
12225,Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996,Fighting,Tomy Corporation,0,0,0.26,0.02
12226,Shin Nippon Pro Wrestling: Toukon Retsuden 3,PS,1998,Fighting,Tomy Corporation,0,0,0.21,0.01
12227,Shin Sangoku Musou 4 Special,X360,2005,Action,Tecmo Koei,0,0,0.01,0
12228,Shin Sangoku Musou 5 Empires,PSP,2010,Action,Tecmo Koei,0,0,0.05,0
12229,Shin Sangoku Musou 5 Special,PSP,2009,Action,Tecmo Koei,0,0,0.05,0
12230,Shin Sangoku Musou 6 Special,PSP,2011,Action,Tecmo Koei,0,0,0.11,0
12231,Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010,Action,Tecmo Koei,0,0,0.03,0
12232,Shin Sangoku Musou Online: Souten Ranbu,PS3,2010,Action,Tecmo Koei,0,0,0.02,0
12233,Shin Sangoku Musou: Multi Raid 2,PSP,2010,Action,Tecmo Koei,0,0,0.11,0
12234,Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto,0,0,0.52,0.04
12235,Shin Super Robot Taisen Special Disk,PS,1997,Strategy,Banpresto,0,0,0.3,0.02
12236,Shinigami to Shoujo,PSP,2011,Adventure,Takuyo,0,0,0.01,0
12237,Shining Ark,PSP,2013,Role-Playing,Sega,0,0,0.11,0
12238,Shining Blade,PSP,2012,Role-Playing,Sega,0,0,0.2,0
12239,Shining Force CD,SCD,1994,Strategy,Sega,0,0,0.14,0
12240,Shining Force EXA,PS2,2007,Role-Playing,Sega,0,0,0.1,0
12241,Shining Force Feather,DS,2009,Strategy,Sega,0,0,0.06,0
12242,Shining Force II,GEN,1993,Strategy,Sega,0,0,0.19,0
12243,Shining Force III,SAT,1997,Strategy,Sega,0,0,0.13,0
12244,Shining Force III: Scenario 2,SAT,1998,Strategy,Sega,0,0,0.05,0
12245,Shining Force NEO,PS2,2005,Role-Playing,Sega,0.06,0.04,0,0.01
12246,Shining Force: Resurrection of the Dark Dragon,GBA,2004,Role-Playing,THQ,0.06,0.02,0,0
12247,Shining Hearts,PSP,2010,Role-Playing,Sega,0,0,0.2,0
12248,Shining Resonance,PS3,2014,Role-Playing,Sega,0,0,0.14,0
12249,Shining Soul,GBA,2002,Role-Playing,Atari,0.03,0.01,0.09,0
12250,Shining Soul II,GBA,2003,Role-Playing,THQ,0.06,0.02,0,0
12251,Shining Stars,DS,2008,Action,Destination Software Inc,0.03,0,0,0
12252,Shining Tears,PS2,2004,Role-Playing,Sega,0.05,0.04,0,0.01
12253,Shining Wind,PS2,2007,Role-Playing,Sega,0,0,0.13,0
12254,Shinken de Watashi ni Koi Shinasai! R,PS3,2012,Action,Minato Station,0,0,0.02,0
12255,Shinkyoku Soukai Polyphonica,PS2,2007,Adventure,Prototype,0,0,0.02,0
12256,Shinobi,PS2,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09
12257,Shinobi,3DS,2011,Platform,Sega,0.14,0.07,0,0.02
12258,Shinobi Koutsutsu,PSP,2014,Adventure,Idea Factory,0,0,0.01,0
12259,Shinobi. Koi Utsutsu: Setsugetsuka Koi Emaki,PSV,2015,Action,Idea Factory,0,0,0.01,0
12260,Shinobido 2: Tales of the Ninja,PSV,2011,Action,Sony Computer Entertainment,0.06,0.05,0.02,0.03
12261,Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,PSP,2006,Adventure,Namco Bandai Games,0,0,0.05,0
12262,Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,DS,2008,Simulation,Broccoli,0,0,0.03,0
12263,Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,PS,1998,Misc,Gainax Network Systems,0,0,0.05,0
12264,Shinseiki Evangelion: Battle Orchestra,PS2,2007,Fighting,Broccoli,0,0,0.02,0
12265,Shinseiki Evangelion: Battle Orchestra Portable,PSP,2009,Fighting,Broccoli,0,0,0.01,0
12266,Shinseiki Evangelion: Koutetsu no Girlfriend,PS,1998,Adventure,Gainax Network Systems,0,0,0.11,0.01
12267,Shinseiki Evangelion: Koutetsu no Girlfriend,SAT,1998,Adventure,Sega,0,0,0.11,0
12268,Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,PSP,2009,Adventure,CyberFront,0,0,0.01,0
12269,Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable,PSP,2009,Adventure,CyberFront,0,0,0.01,0
12270,Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PS2,2007,Racing,Sunrise Interactive,0,0,0.02,0
