Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0
2,.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0
3,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03
4,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0
5,.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0
6,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13
7,.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0,0,0.14,0
8,.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06
9,.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04
10,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari,0.09,0.07,0,0.02
11,.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0
12,[Prototype 2],X360,2012,Action,Activision,0.48,0.25,0,0.07
13,[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.11
14,[Prototype 2],PC,2012,Action,Activision,0.07,0.02,0,0.01
15,[Prototype],X360,2009,Action,Activision,0.84,0.35,0,0.12
16,[Prototype],PS3,2009,Action,Activision,0.65,0.41,0,0.19
17,007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03
18,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.52,0.01,0.14
19,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.52,0.02,0.2
20,007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07
21,007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26
22,007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01
23,007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0
24,007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03
25,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06
26,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16
27,1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01
28,1/2 Summer +,PSP,2013,Adventure,Kaga Create,0,0,0.01,0
29,10 Minute Solution,Wii,2010,Sports,Activision,0.06,0.01,0,0.01
30,100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04
31,100 Classic Books,DS,2008,Misc,Nintendo,0.13,0.52,0,0.02
32,100 Classic Games,DS,2011,Misc,Rondomedia,0,0.03,0,0
33,1000 Cooking Recipes from ELLE à table,DS,2010,Misc,Nintendo,0,0.02,0,0
34,1001 Touch Games,DS,2011,Action,Avanquest,0.12,0.17,0,0.04
35,101-in-1 Explosive Megamix,DS,2008,Puzzle,Nordcurrent,0.05,0.13,0,0.02
36,101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,0.19,0.01,0,0.02
37,101-in-1 Sports Megamix,DS,2010,Sports,Nordcurrent,0.08,0,0,0.01
38,101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0,0,0
39,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05
40,11eyes: CrossOver,X360,2009,Adventure,5pb,0,0,0.02,0
41,11eyes: CrossOver,PSP,2010,Adventure,5pb,0,0,0.02,0
42,12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,CyberFront,0,0,0.04,0
43,12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0
44,12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,0.04,0
45,15 Days,PC,2009,Adventure,DTP Entertainment,0,0.01,0,0
46,1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.05
47,18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05
48,18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0
49,18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,Rondomedia,0,0.02,0,0
50,18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0,0.01
51,187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02
52,187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0
53,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,THQ,0.09,0.03,0,0
54,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,1.26,0.47,0,0.03
55,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ,1.25,0.46,0,0.03
56,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ,0.22,0.08,0,0.01
57,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.31,0.49,0,0.03
58,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.44,0.16,0,0.01
59,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,Sega,0.04,0.02,0,0
60,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01
61,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega,0.4,0.11,0,0.02
62,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,Ubisoft,0.09,0.01,0,0.01
63,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06
64,2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01
65,2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0,0
66,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22
67,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09
68,2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.24,0.03,0.12
69,2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04
70,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16
71,2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.14,0.28,0,0.04
72,24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04
73,25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06
74,25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01
75,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0,0
76,2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05
77,3 in 1: Solitaire. Mahjong & Tangram,DS,2010,Misc,Deep Silver,0,0.07,0,0.01
78,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06
79,3D Baseball,PS,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0,0
80,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07
81,3D Lemmings,PS,1995,Puzzle,Psygnosis,0.03,0.02,0,0
82,3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,Avalon Interactive,0.06,0.04,0,0.01
83,3DS Classic Collection,3DS,2016,Misc,Sega,0.02,0,0,0
84,3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games,0,0,0.23,0
85,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.19,0
86,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games,0,0,0.19,0
87,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,Namco Bandai Games,0,0,0.15,0
88,3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0,0.06
89,4 Elements,PC,2009,Puzzle,Mastertronic,0,0.04,0,0.01
90,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,Atari,0.11,0,0,0.01
91,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1.45,0
92,40 Winks,PS,1999,Platform,GT Interactive,0.17,0.12,0,0.02
93,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0,0,0.13,0
94,428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,Spike,0,0,0.04,0
95,428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,Spike,0,0,0.02,0
96,4x4 EVO 2,XB,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01
97,4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0,0
98,4x4 Evolution,PS2,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04
99,50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0,0.02
100,50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03
101,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16
102,50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02
103,50 Cent: Bulletproof,PSP,2006,Action,Vivendi Games,0.08,0,0,0.01
104,50 Classic Games,DS,2009,Misc,Destineer,0.52,0,0,0.04
105,50 Classic Games,3DS,2012,Misc,Avanquest Software,0,0.02,0,0
106,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,Namco Bandai Games,0,0,0.22,0
107,7 Days to Die,PS4,2016,Action,Telltale Games,0.03,0.07,0,0.02
108,7 Days to Die,XOne,2016,Action,Telltale Games,0.02,0.02,0,0
109,7 Roses: A Darkness Rises,PC,2015,Misc,Avanquest Software,0,0.02,0,0
110,7 Wonders II,DS,2009,Puzzle,Rondomedia,0.14,0.15,0,0.03
111,7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0,0.01
112,7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01
113,7 Wonders: Treasures of Seven,DS,2011,Puzzle,Avanquest,0.02,0.03,0,0.01
114,7th Dragon,DS,2009,Role-Playing,Sega,0,0,0.14,0
115,7th Dragon 2020,PSP,2011,Role-Playing,Sega,0,0,0.2,0
116,7th Dragon 2020-II,PSP,2013,Role-Playing,Sega,0,0,0.13,0
117,7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.03,0,0.12,0
118,'98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03
119,99 no Namida,DS,2008,Adventure,Namco Bandai Games,0,0,0.04,0
120,999: Nine Hours. Nine Persons. Nine Doors,DS,2009,Adventure,ChunSoft,0.37,0,0.03,0.03
121,A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02
122,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11
123,A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0,0.01
124,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09
125,A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.17,0.12,0,0.02
126,A Game of Thrones: Genesis,PC,2011,Strategy,Focus Home Interactive,0,0.03,0,0.01
127,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,Kaga Create,0,0,0.03,0
128,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,0,0,0.06,0
129,A New Beginning,PC,2010,Adventure,Deep Silver,0,0.05,0,0.01
130,A Ressha de Gyoukou 2001,PS2,2001,Simulation,ArtDink,0,0,0.03,0
131,A Ressha de Ikou DS,DS,2009,Simulation,ArtDink,0,0,0.04,0
132,A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0
133,A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01
134,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink,0,0,0.24,0.02
135,A.C.E.: Another Century's Episode,PS2,2005,Simulation,Banpresto,0,0,0.26,0
136,A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0,0,0.18,0
137,A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,Banpresto,0,0,0.26,0
138,A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0,0,0.12,0
139,A.C.E.: Another Century's Episode R,PS3,2010,Simulation,Namco Bandai Games,0,0,0.26,0
140,¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,0.14,0
141,Aa Megami-samaa,PS2,2007,Adventure,Marvelous Interactive,0,0,0.01,0
142,ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.19,0.5,0,0.11
143,Abunai: Koi no Sousa Shitsu,PSV,2015,Action,Asgard,0,0,0.02,0
144,Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0,0,0.01,0
145,AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,0.25,0,0,0.02
146,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02
147,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02
148,AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0,0.02
149,Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.1,0.02,0,0.01
150,Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0
151,Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0,0,0.03,0
152,Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,0,0,0.02,0
153,Accel World: Kasoku no Chouten,PSP,2013,Adventure,Namco Bandai Games,0,0,0.01,0
154,Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27,0
155,Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0,0,0.26,0
156,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.27,0.15,0.3,0.04
157,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17
158,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06
159,Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05
160,Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18
161,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06
162,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19
163,Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04
164,Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07
165,Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04
166,Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01
167,Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03
168,Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Mamba Games,0,0.01,0,0
169,Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0,0.01,0,0
170,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07
171,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01
172,Action Man-Operation Extreme,PS,N/A,Action,N/A,0.05,0.03,0,0.01
173,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0,0.18,0,0.01
174,Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,0.14,0,0,0.01
175,Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.15,0.27,0,0.06
176,Active Life: Magical Carnival,Wii,2011,Misc,Namco Bandai Games,0.04,0.01,0,0
177,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.79,0.44,0.19,0.14
178,Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06
179,Activision Anthology,GBA,2003,Misc,Activision,0.03,0.01,0,0
180,Activision Hits: Remixed,PSP,2006,Misc,Activision,0.05,0,0,0
181,Actua Tennis,PS,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01
182,Adidas Power Soccer,PS,1996,Sports,Psygnosis,0.02,0.01,0,0
183,Adidas Power Soccer 98,PS,1998,Sports,Psygnosis,0.01,0.01,0,0
184,Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01
185,Advance Guardian Heroes,GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0,0
186,Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0,0.01
187,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0,0.01
188,Advance Wars: Days of Ruin,DS,N/A,Strategy,Nintendo,0.44,0.13,0,0.06
189,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03
190,Advent Rising,XB,2005,Action,THQ,0.1,0.03,0,0
191,Adventure,2600,N/A,Adventure,Atari,1.21,0.08,0,0.01
192,Adventure Island,NES,1986,Platform,Hudson Soft,0,0,1.05,0
193,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0,0.01
194,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,D3Publisher,0.03,0.04,0,0.01
195,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.02,0,0.01
196,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,Action,D3Publisher,0.02,0.01,0,0
197,Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.07,0,0.02
198,Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.02,0.06,0,0.01
199,Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.04,0,0.01
200,Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.02,0.05,0,0.01
201,Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,Little Orbit,0.03,0.02,0,0
202,Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.02,0.02,0,0
203,Adventure Time: The Secret of the Nameless,3DS,2014,Adventure,Little Orbit,0.01,0,0,0
204,Adventure Time: The Secret of the Nameless,X360,2014,Adventure,Little Orbit,0.01,0,0,0
205,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.08,0,0.01
206,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0
207,Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,0,0,0
208,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01
209,Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.1,0,0.01,0.01
210,Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0,0,0
211,Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.02,0.01,0,0.01
212,Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,0.01,0.01,0,0
213,Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0
214,Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01
215,Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0
216,Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0,0.01
217,Aero Gauge,N64,1997,Racing,ASCII Entertainment,0.06,0.01,0,0
218,AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0,0
219,Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01
220,Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0,0.02
221,Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,0.03
222,After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.03
223,Again,DS,2009,Adventure,Ackkstudios,0.07,0,0,0
224,Agarest Senki: Re-appearance,PS3,N/A,Role-Playing,Idea Factory,0,0,0.01,0
225,Agassi Tennis Generation,PS2,2003,Sports,DreamCatcher Interactive,0.04,0.03,0,0.01
226,Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01
227,Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0
228,Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.07,0.02,0,0.01
229,Agatha Christie: Peril at End House,PC,2009,Adventure,JoWood Productions,0,0.01,0,0
230,Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0.01,0,0.01
231,Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0,0
232,Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0
233,Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,Funcom,0,0.02,0,0
234,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.02
235,Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.32,0,0.07
236,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03
237,Age of Empires III: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0.01
238,Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01
239,Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,0.01,0.04,0,0.01
240,Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,0.02,0.1,0,0.02
241,Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.17,0.03,0,0.02
242,Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.19,0.02,0,0.02
243,Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0,0.01
244,Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0.01,0.02,0,0
245,Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04
246,Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0
247,Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,0.04,0.01,0,0
248,Agile Warrior F-111X,PS,1995,Simulation,Virgin Interactive,0.08,0.05,0,0.01
249,Aibou DS,DS,2009,Adventure,Tecmo Koei,0,0,0.08,0
250,Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,THQ,0.08,0.02,0,0
251,Aikatsu! 2-nin no My Princess,3DS,2013,Action,Namco Bandai Games,0,0,0.26,0
252,Aikatsu! 365 Idol Days,3DS,2014,Adventure,Namco Bandai Games,0,0,0.13,0
253,Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0
254,Aikatsu! My No.1 Stage!,3DS,2015,Misc,Namco Bandai Games,0,0,0.07,0
255,Ailu de Puzzle,PSP,2012,Action,Capcom,0,0,0.04,0
256,AIR,PSP,2007,Adventure,Prototype,0,0,0.02,0
257,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05
258,Air Conflicts: Aces of World War II,PSP,2009,Simulation,Graffiti,0.05,0,0,0
259,Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03
260,Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01
261,Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0,0.02,0,0.01
262,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01
263,Air Traffic Chaos,DS,2007,Simulation,Ertain,0.05,0,0,0
264,Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03
265,Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02
266,AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0,0.01
267,AirForce Delta Storm,GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0
268,AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01
269,Airline Tycoon,PC,2000,Simulation,Interplay,0,0.01,0,0
270,Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0,0.04,0,0.01
271,Airlock,2600,1981,Action,Data Age,0.36,0.02,0,0
272,Airport Simulator,PC,2011,Simulation,Unknown,0,0.02,0,0
273,Air-Sea Battle,2600,N/A,Shooter,Atari,0.91,0.06,0,0.01
274,Airship Q,PSV,2015,Platform,Cygames,0,0,0.03,0
275,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Adventure,Marvelous Interactive,0,0,0.06,0
276,Akai Ito DS,DS,2008,Adventure,Alchemist,0,0,0.02,0
277,Akai Katana Shin,X360,2011,Shooter,Cave,0.04,0,0.01,0
278,Akane Iro ni Somaru Saka Parallel,PS2,2008,Adventure,GN Software,0,0,0.03,0
279,Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,Strategy,CyberFront,0,0,0.01,0
280,Akatsuki no Goei Trinity,PSP,2012,Adventure,5pb,0,0,0.01,0
281,Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb,0,0,0.01,0
282,AKB1/149: Love Election,PSP,2012,Adventure,Namco Bandai Games,0,0,0.23,0
283,AKB1/149: Love Election,PS3,2013,Adventure,Namco Bandai Games,0,0,0.08,0
284,AKB1/149: Love Election,PSV,2012,Adventure,Namco Bandai Games,0,0,0.07,0
285,AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,Namco Bandai Games,0,0,0.4,0
286,AKB1/48: Idol to Guam de Koishitara...,X360,N/A,Misc,N/A,0,0,0.01,0
287,AKB1/48: Idol to Koishitara...,PSP,2010,Misc,Namco Bandai Games,0,0,0.41,0
288,AKB48+Me,3DS,2012,Action,Unknown,0,0,0.11,0
289,Akiba's Trip,PSP,2011,Adventure,Acquire,0,0,0.14,0
290,Akiba's Trip Plus,PSP,2012,Adventure,Acquire,0,0,0.08,0
291,Akiba's Trip: Undead & Undressed,PSV,2013,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03
292,Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0,0.01,0.02
293,Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01
294,Akko ni Omakase! Brain Shock,DS,2006,Misc,Taito,0,0,0.04,0
295,Akuji the Heartless,PS,1998,Platform,Eidos Interactive,0.07,0.04,0,0.01
